-8.498881941573189991e+00,-7.691538666359021725e+00,-7.412152080785780583e+00,-6.398611278224564103e+00,-5.412952857254464512e+00,-4.550652390789474033e+00,-4.047432029916785190e+00
-8.492734494980528126e+00,-7.685915246957750746e+00,-7.408414284196854105e+00,-6.393456045960146383e+00,-5.407639631878351949e+00,-4.545383903652772339e+00,-4.042066340673144964e+00
-8.495550941855190885e+00,-7.683038553008968208e+00,-7.401263607537742040e+00,-6.385664351887586854e+00,-5.399202816404288896e+00,-4.536345726046248750e+00,-4.032993437003340453e+00
-8.498298074916119660e+00,-7.691293132891090067e+00,-7.411964442950853105e+00,-6.398495595404685155e+00,-5.412859361866155794e+00,-4.550563157111514379e+00,-4.047344486311256873e+00
-8.499129906774141929e+00,-7.691542847221097823e+00,-7.412149917497595553e+00,-6.398611999566841568e+00,-5.412954841859138888e+00,-4.550654663103789410e+00,-4.047434329213085213e+00
-8.498862274963965291e+00,-7.691530455346330619e+00,-7.412145025930563236e+00,-6.398606160941001875e+00,-5.412948864801421678e+00,-4.550648625917015799e+00,-4.047428344977295644e+00
-8.491691282623115455e+00,-7.687189248511107742e+00,-7.408932613092699349e+00,-6.395707868302333843e+00,-5.409644341262348277e+00,-4.547496047531777386e+00,-4.044433607163311351e+00
-8.492467531735252706e+00,-7.691519838395588948e+00,-7.413182547673576650e+00,-6.400130015505546943e+00,-5.414586806957486509e+00,-4.552463371610838472e+00,-4.049271490226674430e+00
-8.493766479578201967e+00,-7.689880560250861308e+00,-7.410876962457125572e+00,-6.397850247161351867e+00,-5.412349802770215490e+00,-4.550082668344280101e+00,-4.046864966821233089e+00
-8.496006933873600175e+00,-7.690654205452558401e+00,-7.411459342313801102e+00,-6.398181080726778269e+00,-5.412602580589135570e+00,-4.550317623951526613e+00,-4.047103966737965131e+00
