STATEFP,PUMA5CE,PUMA NAME
06,00110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities"
06,00300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties"
06,00701,Butte County (Northwest)--Chico City
06,00702,Butte County (Southeast)--Oroville City & Paradise Town
06,01100,"Colusa, Glenn, Tehama & Trinity Counties"
06,01301,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities
06,01302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites"
06,01303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities"
06,01304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town"
06,01305,Contra Costa County (South)--San Ramon City & Danville Town
06,01306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities"
06,01307,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities
06,01308,Contra Costa County (Northeast)--Antioch City
06,01309,Contra Costa County (East)--Brentwood & Oakley Cities
06,01500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties"
06,01700,El Dorado County--El Dorado Hills
06,01901,"Fresno County (West)--Selma, Kerman & Coalinga Cities"
06,01902,Fresno County (North Central)--Fresno City (North)
06,01903,Fresno County (Central)--Fresno City (East Central)
06,01904,Fresno County (Central)--Fresno City (Southwest)
06,01905,Fresno County (Central)--Fresno City (Southeast)
06,01906,Fresno County (Central)--Clovis City
06,01907,"Fresno County (East)--Sanger, Reedley & Parlier Cities"
06,02300,Humboldt County
06,02500,Imperial County--El Centro City
06,02901,"Kern County (West)--Delano, Wasco & Shafter Cities"
06,02902,Kern County (Central)--Bakersfield City (West)
06,02903,Kern County (Central)--Bakersfield City (Northeast)
06,02904,Kern County (Central)--Bakersfield City (Southeast)
06,02905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities"
06,03100,Kings County--Hanford City
06,03300,Lake & Mendocino Counties
06,03701,Los Angeles County (North/Unincorporated)--Castaic
06,03702,Los Angeles County (Northwest)--Santa Clarita City
06,03703,Los Angeles County (North Central)--Lancaster City
06,03704,Los Angeles County (North Central)--Palmdale City
06,03705,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)
06,03706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)
06,03707,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities
06,03708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)"
06,03709,Los Angeles County (Central)--San Gabriel Valley Region (North)
06,03710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities"
06,03711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities"
06,03712,Los Angeles County (East Central)--Pomona City
06,03713,Los Angeles County (East Central)--Covina & Walnut Cities
06,03714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights"
06,03715,Los Angeles County (East Central)--West Covina City
06,03716,Los Angeles County (East Central)--La Puente & Industry Cities
06,03717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities"
06,03718,Los Angeles County (Central)--Pasadena City
